event_date,device_category,country,source,medium,total_users,page_views,item_views,add_to_carts,checkouts,purchases,total_revenue
2021-01-31,desktop,Australia,google,cpc,2,4,0,0,0,0,0.0
2021-01-31,desktop,China,shop.googlemerchandisestore.com,referral,2,5,1,0,0,0,0.0
2021-01-31,mobile,India,<Other>,<Other>,16,41,12,0,0,0,0.0
2021-01-31,mobile,Japan,google,organic,6,21,8,8,0,0,0.0
2021-01-31,desktop,United States,(data deleted),(data deleted),39,114,13,2,0,0,0.0
2021-01-31,desktop,United Kingdom,(direct),(none),10,26,2,0,0,0,0.0
2021-01-31,desktop,Japan,(direct),(none),10,55,6,3,6,2,0.0
2021-01-31,desktop,Japan,<Other>,<Other>,4,10,2,0,0,0,0.0
2021-01-31,mobile,Ireland,google,cpc,1,4,0,0,0,0,0.0
2021-01-31,desktop,Canada,(direct),(none),23,79,28,12,2,1,0.0
2021-01-31,desktop,United States,google,organic,199,657,138,11,12,0,0.0
2021-01-31,desktop,Hungary,(direct),(none),1,2,0,0,0,0,0.0
2021-01-31,mobile,Tunisia,<Other>,referral,1,8,0,0,0,0,0.0
2021-01-31,desktop,Turkey,google,organic,4,17,0,0,0,0,0.0
2021-01-31,mobile,Japan,<Other>,organic,1,2,0,0,0,0,0.0
2021-01-31,mobile,Greece,(data deleted),(data deleted),1,1,0,0,0,0,0.0
2021-01-31,desktop,Singapore,shop.googlemerchandisestore.com,referral,2,4,0,0,0,0,0.0
2021-01-31,desktop,Greece,<Other>,referral,3,6,1,0,0,0,0.0
2021-01-31,mobile,United States,google,cpc,22,54,8,0,0,0,0.0
2021-01-31,mobile,United Kingdom,<Other>,<Other>,4,16,2,0,0,0,0.0
2021-01-31,tablet,United States,(data deleted),(data deleted),1,0,0,0,0,0,0.0
2021-01-31,mobile,Singapore,(direct),(none),3,48,24,19,0,0,0.0
2021-01-31,mobile,Germany,shop.googlemerchandisestore.com,referral,3,19,11,0,0,0,0.0
2021-01-31,desktop,Ireland,shop.googlemerchandisestore.com,referral,2,4,1,0,0,0,0.0
2021-01-31,desktop,Ireland,google,organic,2,9,0,0,0,0,0.0
2021-01-31,mobile,United Arab Emirates,(direct),(none),1,2,0,0,0,0,0.0
2021-01-31,desktop,United States,shop.googlemerchandisestore.com,referral,58,183,39,5,4,0,0.0
2021-01-31,mobile,United States,google,organic,155,478,86,9,7,1,0.0
2021-01-31,mobile,United States,shop.googlemerchandisestore.com,referral,44,274,22,5,14,0,0.0
2021-01-31,mobile,Israel,google,cpc,2,4,0,0,0,0,0.0
2021-01-31,mobile,Canada,(direct),(none),14,45,7,0,0,0,0.0
2021-01-31,desktop,Egypt,google,organic,5,11,0,0,0,0,0.0
2021-01-31,desktop,Hong Kong,google,organic,5,21,2,0,0,0,0.0
2021-01-31,desktop,Ireland,<Other>,<Other>,2,5,0,0,0,0,0.0
2021-01-31,mobile,United States,<Other>,<Other>,75,267,41,15,17,2,0.0
2021-01-31,mobile,United States,<Other>,referral,50,159,33,5,2,0,0.0
2021-01-31,desktop,Myanmar (Burma),google,organic,1,2,0,0,0,0,0.0
2021-01-31,desktop,Canada,google,organic,46,166,26,10,7,0,0.0
2021-01-31,mobile,India,<Other>,referral,6,13,2,0,0,0,0.0
2021-01-31,desktop,Ireland,(data deleted),(data deleted),1,5,7,0,0,0,0.0
2021-01-31,mobile,Taiwan,(direct),(none),7,46,15,2,0,0,0.0
2021-01-31,desktop,Malaysia,google,organic,4,16,1,0,0,0,0.0
2021-01-31,mobile,Canada,<Other>,organic,5,9,1,0,0,0,0.0
2021-01-31,mobile,Australia,<Other>,referral,4,21,4,0,0,0,0.0
2021-01-31,desktop,Germany,google,organic,10,28,2,0,0,0,0.0
2021-01-31,mobile,China,shop.googlemerchandisestore.com,referral,4,26,4,0,0,0,0.0
2021-01-31,mobile,India,(direct),(none),32,122,25,1,0,0,0.0
2021-01-31,mobile,Singapore,google,organic,7,45,28,21,2,2,0.0
2021-01-31,desktop,Denmark,(direct),(none),1,2,0,0,0,0,0.0
2021-01-31,mobile,Canada,google,organic,19,96,23,1,0,0,0.0
2021-01-31,desktop,Ecuador,(direct),(none),2,10,0,0,0,0,0.0
2021-01-31,desktop,India,shop.googlemerchandisestore.com,referral,8,35,5,0,0,0,0.0
2021-01-31,desktop,India,(data deleted),(data deleted),4,23,2,0,0,0,0.0
2021-01-31,tablet,United Kingdom,shop.googlemerchandisestore.com,referral,1,1,0,0,0,0,0.0
2021-01-31,mobile,Indonesia,google,cpc,2,5,0,0,0,0,0.0
2021-01-31,desktop,United States,(direct),(none),164,645,232,21,23,1,0.0
2021-01-31,desktop,India,(direct),(none),34,140,42,16,4,1,0.0
2021-01-31,desktop,Canada,google,cpc,5,40,20,0,0,0,0.0
2021-01-31,mobile,Canada,(data deleted),(data deleted),5,11,5,0,0,0,0.0
2021-01-31,desktop,Denmark,shop.googlemerchandisestore.com,referral,1,2,0,0,0,0,0.0
2021-01-31,mobile,United States,(direct),(none),103,360,63,4,12,0,0.0
2021-01-31,desktop,Norway,(direct),(none),1,22,10,3,0,0,0.0
2021-01-31,desktop,Norway,<Other>,referral,1,1,0,0,0,0,0.0
2021-01-31,desktop,Iraq,<Other>,<Other>,1,14,1,0,0,0,0.0
2021-01-31,desktop,Germany,<Other>,referral,2,4,0,0,0,0,0.0
2021-01-31,mobile,Greece,<Other>,<Other>,1,2,0,0,0,0,0.0
2021-01-31,desktop,Netherlands,<Other>,<Other>,5,22,11,4,0,0,0.0
2021-01-31,mobile,India,google,cpc,7,37,1,0,0,0,0.0
2021-01-31,desktop,Bangladesh,google,organic,1,2,0,0,0,0,0.0
2021-01-31,desktop,China,google,organic,6,29,10,0,0,0,0.0
2021-01-31,desktop,Colombia,<Other>,referral,1,2,0,0,0,0,0.0
2021-01-31,mobile,India,google,organic,35,88,6,0,0,0,0.0
2021-01-31,mobile,India,shop.googlemerchandisestore.com,referral,12,38,8,0,0,0,0.0
2021-01-31,desktop,Ireland,google,cpc,2,5,2,0,0,0,0.0
2021-01-31,desktop,France,(direct),(none),4,13,0,0,0,0,0.0
2021-01-31,desktop,France,google,organic,13,38,1,0,0,0,0.0
2021-01-31,mobile,United States,(data deleted),(data deleted),38,140,21,4,4,0,0.0
2021-01-31,desktop,Australia,google,organic,4,24,16,6,3,0,0.0
2021-01-31,desktop,Australia,shop.googlemerchandisestore.com,referral,2,4,0,0,0,0,0.0
2021-01-31,desktop,United States,<Other>,<Other>,105,305,59,10,2,0,0.0
2021-01-31,desktop,Chile,google,cpc,2,7,0,0,0,0,0.0
2021-01-31,mobile,Thailand,shop.googlemerchandisestore.com,referral,1,21,11,7,2,1,0.0
2021-01-31,mobile,Greece,(direct),(none),3,6,0,0,0,0,0.0
2021-01-31,desktop,Ukraine,(data deleted),(data deleted),1,0,0,0,0,0,0.0
2021-01-31,desktop,Ukraine,shop.googlemerchandisestore.com,referral,1,0,0,0,0,0,0.0
2021-01-31,desktop,United Kingdom,<Other>,<Other>,7,12,0,0,0,0,0.0
2021-01-31,desktop,India,google,organic,51,119,14,0,0,0,0.0
2021-01-31,desktop,Canada,<Other>,<Other>,18,87,15,9,2,0,0.0
2021-01-31,desktop,Estonia,(direct),(none),1,1,0,0,0,0,0.0
2021-01-31,desktop,Poland,(direct),(none),2,4,1,0,0,0,0.0
2021-01-31,mobile,Turkey,(direct),(none),4,14,0,0,0,0,0.0
2021-01-31,desktop,Argentina,shop.googlemerchandisestore.com,referral,2,6,1,0,0,0,0.0
2021-01-31,desktop,United States,<Other>,referral,64,172,20,1,2,0,0.0
2021-01-31,tablet,Canada,(direct),(none),2,5,2,0,0,0,0.0
2021-01-31,desktop,Netherlands,(data deleted),(data deleted),2,33,18,5,2,1,0.0
2021-01-31,mobile,South Korea,<Other>,<Other>,6,13,1,0,0,0,0.0
2021-01-31,desktop,Singapore,google,organic,10,35,7,1,2,0,0.0
